"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1844","Deve logar com sucesso","RN1-CT1: Login com usuário válido","Mon Mar 17 04:44:09 UTC 2025","passed","Mon Mar 17 04:44:11 UTC 2025","","","",""
"","1325","Deve falhar no checkout","RN4-CT2: Finalização de Compra – Erro","Mon Mar 17 04:44:24 UTC 2025","passed","Mon Mar 17 04:44:25 UTC 2025","","","",""
"","1041","Deve ordenar os produtos com preço maior para menor","RN5-CT1: Ordenação de Produtos","Mon Mar 17 04:44:27 UTC 2025","passed","Mon Mar 17 04:44:28 UTC 2025","","","",""
"","1156","Deve adicionar um produto ao carrinho","RN2-CT1: Adicionar produtos ao carrinho","Mon Mar 17 04:44:15 UTC 2025","passed","Mon Mar 17 04:44:16 UTC 2025","","","",""
"","1261","Deve remover os produtos do carrinho","RN3-CT1: Remover produtos do carrinho","Mon Mar 17 04:44:18 UTC 2025","passed","Mon Mar 17 04:44:19 UTC 2025","","","",""
"","886","Deve exibir erro ao inserir credenciais inválidas","RN1-CT2: Login com usuário inválido","Mon Mar 17 04:44:12 UTC 2025","passed","Mon Mar 17 04:44:13 UTC 2025","","","",""
"","2229","Deve finalizar uma compra com sucesso","RN4-CT1: Finalização de Compra – Sucesso","Mon Mar 17 04:44:20 UTC 2025","passed","Mon Mar 17 04:44:23 UTC 2025","","","",""
